pali	grammar_y	meaning_y	from_y	exists
arahantavāda	masculine	the title of an arahat	araha(t)	right_only
arājaka	adjective	without a king	arājika	right_only
arājika	adjective	without a king	arājaka	right_only
ariyaka	neuter & adjective	(neuter) the Ariya language		right_only
ariyaka	neuter & adjective	(adjective) who is an Ariya, who speaks the Ariya language		right_only
ariyagarahī	adjective	reproaching, censuring the noble ones	ariya	right_only
ariyagarahi	adjective	reproaching, censuring the noble ones	ariya	right_only
ariyaddasa	adjective	seeing what belongs to the noble ones, what is noble	ariya	right_only
ariyavaṃiksa	adjective	practicing the traditions of the noble ones, belonging to the noble tradition; who recites the Ariyavaṁsa-sutta	ariya	right_only
ariyavāsa	masculine	a way of living of the noble ones; a sublime state	ariya	right_only
ariyavutti	adjective	noble in conduct	ariya	right_only
ariyasīlī	adjective	having the (moral) nature of a noble one, of sublime practice	ariya	right_only
ariyasīli	adjective	having the (moral) nature of a noble one, of sublime practice	ariya	right_only
ariyāyatana	neuter	the region of the Ariyas	ariya	right_only
ariyūpavādī	adjective	speaking ill of the noble ones, insulting the noble ones	ariya	right_only
ariyūpavādi	adjective	speaking ill of the noble ones, insulting the noble ones	ariya	right_only
aruṇaṃ uṭṭhāpeti	phrase	lets the dawn arise, appear (while doing something); (carries on doing something) until dawn	uṭṭhāpeti	right_only
aruṇagga	neuter	the first break of day; dawn; (also written as aruṇugga)		right_only
aruṇugga	neuter	the first break of day; dawn	aruṇagga	right_only
arūpamacitta	masculine	whose thoughts are like a (tender) sore		right_only
arogāpeti	adjectivea	cures, makes well		right_only
arosaneyya	adjective	not to be angered, not irritable		right_only
alacchinna	adjective	with thumbs and/or big toes mutilated		right_only
aḷa	masculine	the claw of a crab	ala	right_only
aḷa	masculine	a (scorpion’s) tail	ala	right_only
alaṃvacanīya	adjective	(formally) repudiated; separated, estranged	alaṁ	right_only
alaṃsamakkhātar	masculine	a competent teacher	alaṁ	right_only
alaṃsamakkhāta	masculine	a competent teacher	alaṁ	right_only
alaṃsākaccha	adjective	fit to speak in a discussion	alaṁ	right_only
alaṃsājīva	adjective	fit for the communal life	alaṁ	right_only
alaṅkammanīya	adjective	suitable, adequate for the action	alaṁ	right_only
alattakakata	masculine	reddened (with lac)		right_only
alamatta	adjective	competent	alaṁ	right_only
alamattha	adjective	able; competent	alaṁ	right_only
alamatthatara	adjective (compar.)	more competent		right_only
alamatthadasatara	adjective (compar.)	more competent to see what is beneficial; wiser	alaṁ	right_only
alamatthavicintaka	adjective	able to discern the goal or what is beneficial	alaṁ	right_only
alampañña	adjective	capable of reason, sensible	alaṁ	right_only
alampateyyā	adjective (feminine)	suitable, fit for marriage	alaṁ	right_only
alasajātīka	adjective (masculine/feminine)	lazy by nature; disposed to laziness	alasa	right_only
alābulomasa	adjective	hairy like a gourd	alābu	right_only
alābhaka	masculine (or neuter)	the not getting (something); the not receiving anything		right_only
allika	masculine or ~ā feminine	the dye made from the leaves of the alli plant		right_only
alliyati	present 3 singular	comes close to; settles down on; leans against; sticks to, is attached (to, accusative or locative)	allīyati	right_only
avaṃ	indeclinable	downwards		right_only
avakaṅkhati	present 3 singular	desires, longs for		right_only
avakujjapañña	adjective	whose intellect is upside down, not retentive (like an upturned jar); who cannot learn or remember	avakujja	right_only
avaṅga	neuter	a mark or circle drawn on the forehead or at the outer corner of the eye	['apaṅga', 'apāṅga']	right_only
avagaṇḍakāraṃ	indeclinable	stuffing the cheeks full; so as to make the cheeks swell		right_only
avagamaka	adjective	making known, expressing		right_only
avaghaṭṭana	neuter	pushing, hitting		right_only
avacchidda	adjective	cut, torn asunder; full of holes		right_only
avañāta	past participle adjective	despised; underrated	['avajānāti', 'avaññāta']	right_only
avaṭhiti	feminine	firm position; steadiness, stability	avaṭṭhiti	right_only
avatthita	past participle adjective	standing firmly; placed; steady; continuing; lasting	['avaṭṭhita', 'avatiṭṭhati']	right_only
avadātaka	adjective or neuter	white; or a white garment		right_only
avapakassati	present 3 singular	draws back, secedes; alienates oneself	avapakāsati	right_only
avapakāsati	present 3 singular	draws back, secedes; alienates oneself	avapakāsati	right_only
avapatita	past participle adjective	fallen, fallen down		right_only
avabhūta	adjective	low, ignoble; deficient		right_only
avamaññatha	aorist 3 singular	they slighted; they despised	avamaññati	right_only
avarajjhati	present 3 singular	misses, neglects, fails (of); offends, commits a fault		right_only
avarapure	locative	to the west of the city		right_only
avalekhati	present 3 singular	scrapes off	avalikhati	right_only
avalekhanapiṭhara	masculine	a receptacle for scrapers		right_only
avalokayati	present 3 singular	looks at, regards; looks back	avaloketi	right_only
avasajjetvā	indeclinable	throwing down (on); putting into; (or hanging on, suspending)	avassajjetvā	right_only
avasādayati	causative present 3 singular	makes sink down; disheartens, discourages	avasādeti	right_only
avasādeti	causative present 3 singular	makes sink down; disheartens, discourages	avasādayati	right_only
avasāyī	adjective	determined; reaching the end		right_only
avasāyi	adjective	determined; reaching the end		right_only
avassajiṃ	aorist 3 singular	let loose; gave up; dismissed	avassajī	right_only
avassajī	aorist 3 singular	let loose; gave up; dismissed	avassajiṁ	right_only
avahāraka	adjective (masculine)	(one) who takes away; a thief		right_only
avahiyyati	present 3 singular	is left behind; is found wanting	['ohīyati', 'avahīyati']	right_only
avikampi	masculine	not shaking; intrepid, confident		right_only
avipakkanta	adjective	not gone away, not dispersing	avippakkanta	right_only
avippakkanta	adjective	not gone away, not dispersing	avipakkanta	right_only
avisāri	adjective	not diffuse		right_only
avekkhitācāra	adjective	who watches his behavior	['avekkhati', 'avekkhita']	right_only
aveccappasanna	adjective	having a trust founded in knowledge	avecca	right_only
aveccapasanna	adjective	having a trust founded in knowledge	avecca	right_only
aveccapasāda	masculine	trust founded in knowledge, intelligent faith		right_only
aveti	present 3 singular	understands; knows		right_only
avedhadamma	adjective	not subject to trembling; unshakable		right_only
avedhi	adjective	not trembling		right_only
avyayaggamanasa	adjective	with non-distracted mind; with mind focused	avyaggamānasa	right_only
avyayaggamānasa	adjective	with non-distracted mind; with mind focused	avyaggamanasa	right_only
avyāyika	adjective	imperishable; lasting		right_only
avhāyana	masculine feminine	summoning, invitation; invocation; name		right_only
asaṃ	indeclinable	permanent; eternal	asa	right_only
asakāma	adjective	unwilling, not consenting; discontented; unsatisfied		right_only
asaṅgahaka	adjective	lacking kind treatment; not helpful, unsympathetic		right_only
asatthika	adjective	not traveling with a company or caravans		right_only
asaddhiya	neuter	disbelief; lack of faith	assaddhiya	right_only
asanivicakka	neuter	a ring of lightning or thunderbolts	asanī	right_only
asanī	feminine	a thunderbolt; a lightning flash		right_only
asampakampī	adjective	not shaking, not trembling; unshakable		right_only
asampakampi	adjective	not shaking, not trembling; unshakable		right_only
asampavedhī	adjective (f. ~ī)	not trembling; unshakable		right_only
asampavedhi	adjective (f. ~ī)	not trembling; unshakable		right_only
asahānadhammatā	feminine abstr	the not being liable to fail or be wanting; the having qualities which are not liable to fail (?):		right_only
asitatiga	adjective	overcoming the dark (fortnight?):	asnāti	right_only
asitavyābhaṅgī	feminine	sickle and carrying pole or flail	asita	right_only
asipattavana	neuter	a forest of trees with swords or knives for leaves	asi	right_only
asiloma	adjective	with swords or knives for hair	asi	right_only
asītika	adjective	of eighty years; eighty years old		right_only
asīsaka	adjective	without a head, headless		right_only
asucīka	neuter or adjective	impurity or impure		right_only
asucīkamissita	adjective	mixed with or associated with impurity or the impure	asucīka	right_only
asenāsanaka	adjective	without lodgings	asenāsanika	right_only
asenāsanika	adjective	without lodgings	asenāsanaka	right_only
asman	masculine	a stone	asma	right_only
assadūta	masculine	a mounted messenger	assa	right_only
assapaṇīya	neuter	horse for sale	assa	right_only
assapiṭṭha	neuter	a horse’s back	assa	right_only
assapiṭṭhi	feminine	a horse’s back	assa	right_only
assapuṭa	neuter & adjective	(neuter) a bag of ashes (used as (symbolic) punishment)	assa	right_only
assapuṭa	neuter & adjective	(adjective) deserving the ashes as punishment	assa	right_only
assamaṇḍalikā	feminine	a horse-pen; an exercise-ring	assa	right_only
assasadassa	masculine	a good noble horse	assa	right_only
assasammadda	adjective	thronged with horses	assa	right_only
assamiya	adjective	living in the hermitage (of)		right_only
assasi	2 singular	comforted		right_only
assājāneyya	masculine	a thoroughbred horse	['assājānīya', 'assa']	right_only
assādana	neuter ~ā, feminine	tasting; enjoying; flavor, enjoyable taste		right_only
assādayati	present 3 singular	tastes, tastes with relish; relishes, enjoys, takes pleasure	['assādeti', 'assādiyati', 'assādiyeti']	right_only
assādiyati	present 3 singular	tastes, tastes with relish; relishes, enjoys, takes pleasure	['assādiyati', 'assādeti']	right_only
assārūha	masculine	a horseman; a rider; a groom	['assāroha', 'assa']	right_only
assāvi	adjective	discharging (as a wound); emitting fluid (as an elephant in rut)		right_only
assāsati	present 3 singular	breathes, breathes in; breathes on; breathes heavily	assasati	right_only
assāsati	present 3 singular	recovers one ‘s breath, revives; takes courage; is comforted	assasati	right_only
assāsaniya	adjective	comforting; encouraging		right_only
assāsappatta	adjective	full of confidence; encouraged	assāsa	right_only
assāsapatta	adjective	full of confidence; encouraged	assāsa	right_only
assāsetabba	future passive participle adjective	will let recover; will encourage		right_only
assāsetvā	absolutive	having made recover		right_only
assita	adjective	having recourse to, resorting to; living in; depending on		right_only
assuka	neuter	a tear; tears		right_only
assudaṃ	indeclinable	indeed; certainly		right_only
ahaṇkāra	masculine	the (false) conception of one’s individuality; pride, conceit	ahaṁ	right_only
ahaṇkāra	masculine	the theory of self-creation	ahaṁ	right_only
ahaṇkārapasuta	adjective	devoted to the theory of self-creation	ahaṇkāra	right_only
ahimekhalikā	feminine	a snake-girdle	ahi	right_only
ahirīka	adjective & neuter	(adjective) shameless	ahirika	right_only
ahirīka	adjective & neuter	(neuter) shamelessness	ahirika	right_only
ahivijjā	feminine	serpent-lore	ahi	right_only
ahorattaṃ	accusative adverb	day and night; continually	ahoratta	right_only
ahorattanusikkhī	adjective	continually studying; learning	ahoratta	right_only
ahorattanusikkhi	adjective	continually studying; learning	ahoratta	right_only
ahoratti	feminine	a day and a night		right_only
ākaṅkhita	past participle adjective	wished for; desired	ākaṅkhati	right_only
ākaḍḍhiyamāna	present participle adjective	dragging, pulling; pulling near, drawing (towards oneself)	akaḍḍhati	right_only
ākāravat	adjective	having a form; having a cause; grounded	ākāra	right_only
ākārava	adjective	having a form; having a cause; grounded	ākāra	right_only
ākāsaṅgata	adjective	in the air; belonging to the sky or space	['ākāsagata', 'ākāsa']	right_only
ākiñcanasambhava	masculine	the origin of the state of nothingness		right_only
ākiṇṇakammanta	adjective	rough in action; acting impurely	['ākirati', 'ākiṇṇa']	right_only
ākiṇṇaludda	adjective	rough and fierce; very fierce	['ākirati', 'ākiṇṇa']	right_only
ākiṇṇaloma	neuter	matted, thick hair	['ākirati', 'ākiṇṇa']	right_only
ākiṇṇavihāra	masculine	living in crowds	['ākirati', 'ākiṇṇa']	right_only
ākoṭayati	present 3 singular	beats, strikes; knocks (at); pounds; hammers (in)	ākoṭeti	right_only
ākhīṇa	adjective	scattered, unrestrained; rough; impure		right_only
ākhīṇavyappatha	adjective	of rough speech (ākhīṇa)		right_only
āgacchana	neuter	returning	āgacchati	right_only
āgatavisa	adjective	with quickly rising poison	āgata	right_only
āgantabba	future passive participle adjective	to come		right_only
āganta	masculine	one who comes, who returns; (as periphrastic future) will come, will return		right_only
āgamanadiṭṭhika	adjective	with a belief in future consequences	āgamana	right_only
āgamayati	present 3 singular	waits, waits for; expects	['āgameti', 'āgacchati']	right_only
āgamī	adjective	(from āgama) coming, approaching; next		right_only
āgā	aorist 3 singular, 2 singular	comes to; returns	āga	right_only
āgāmi	adjective	approaching; coming, future; returning; being reborn		right_only
āgucāri	adjective (masculine)	doing wrong; criminal	āgu	right_only
āghātavatthu	neuter	occasion of ill-will; reason for resentment	āghāta	right_only
ācama	masculine (?)	sipping; rinsing		right_only
ācamakumbhī	feminine	a rinsing vessel (holding water)	ācama	right_only
ācamati	present 3 singular	sips (water, for purification); rinses (one’s mouth or one’s body)	['ācameti', 'ācamayati']	right_only
ācamanapādukā	feminine	fixed shoes for the feet when washing	ācamana	right_only
ācamanasarāvaka	masculine	a dish for holding water (for sipping or washing)	ācamana	right_only
ācamayati	present 3 singular	sips (water, for purification); rinses (one’s mouth or one’s body)	['ācameti', 'ācamati']	right_only
ācayagāmī	adjective	leading to accumulation or growth	ācaya	right_only
ācayagāmi	adjective	leading to accumulation or growth	ācaya	right_only
ācarinī	feminine	a female teacher		right_only
ācariyaparamparā	feminine	the succession of teachers	ācariya	right_only
ācariyamatta	adjective (masculine)	(one) having the status of a teacher; like a teacher	ācariya	right_only
ācariyamahāyuga	neuter	a generation of teachers	ācariya	right_only
ācāmeti	causative present 3 singular	helps sip; helps wash	ācamati	right_only
ācāragocara	masculine	good behavior and associations	ācāra	right_only
āceraka	neuter	teachings; profession		right_only
ājānīyajjāyita	neuter	the thoughts, preoccupations of a thoroughbred horse; ‘thoroughbred’ meditation	ājānīya	right_only
ājīvati	present 3 singular	make a living; lives by		right_only
ājīvikapakata	adjective	induced by (the necessity of) obtaining a living	ājīvikāpakata	right_only
ājīvikabhaya	adjective	danger to one’s livelihood; fear concerning livelihood	ājīvikābhaya	right_only
ājīvikāpakata	adjective	induced by (the necessity of) obtaining a living	ājīvikapakata	right_only
ājīvikābhaya	adjective	danger to one’s livelihood; fear concerning livelihood	ājīvikabhaya	right_only
āññāta	past participle adjective	known, understood	āññāti	right_only
āññātaññassāmītindriya	neuter	the faculty of resolving to know something unknown	āññāta	right_only
āññāti	present 3 singular	understands; perceives	ājānāti	right_only
āṇāpaka	masculine	one who gives an order; one who passes on an order		right_only
āṇāpayati	causative present 3 singular	(also āṇāpeti) commands, gives an order (to); orders	['ājānāti', 'āññāti']	right_only
āṇāpita	past participle adjective	instructed; ordered; enjoined	āññāti	right_only
āṇicoḷaka	neuter	a plug of cloth; a menstruation cloth	āṇi	right_only
āṇidvāra	neuter	a small gate or a bolted gate	āṇi	right_only
āṇisaṅghāṭa	masculine	a framework of pegs	āṇi	right_only
āṇī	feminine	the pin of a wheel-axle; a linchpin; a peg; a bolt	āṇi	right_only
ātaṅkaphassa	masculine	contact with disease; the touch, the sensation of sickness		right_only
ātāpanaparitāpanānuyoga	masculine	the practice of self-mortification and torture		right_only
ātāpita	past participle adjective	heated	ātāpeti	right_only
ātāpi	adjective	zealous, exerting oneself; zeal; exertion		right_only
ātāpiya	adjective & neuter	energetic; zealous; exerting oneself		right_only
ātitheyya	neuter	a gift of hospitality, a gift to a guest		right_only
ātu	masculine (?)	father (?)		right_only
ātuman	masculine	the self; oneself	ātuma	right_only
ātta	past participle adjective	taken; assumed; grasped		right_only
āttañjaha	adjective	abandoning what has been grasped	atta	right_only
āttañjahadaṇḍa	adjective	who has taken a stick in hand, who has embraced violence	attañjaha	right_only
āttañjahadaṇḍa	adjective	a raised stick; violence	attañjaha	right_only
āttanuyogī	adjective	intent on what one has taken up	atta	right_only
āttanuyogi	adjective	intent on what one has taken up	atta	right_only
āthabbana	masculine or neuter	(what belongs to) the Atharva-veda; a spell or a charm from the Atharva-veda	['āthabbana', 'athabbaṇa', 'athabbana']	right_only
ādapayati	causative present 3 singular	makes take; makes accept	ādapeti	right_only
ādapeti	causative present 3 singular	makes take; makes accept	ādapayati	right_only
ādāta	masculine	one who takes, who receives		right_only
ādātuṃ	infinitive	to grasp, to take; to seize		right_only
ādāyagamanīya	adjective	(from ādāya gacchati, ‘he goes with, he takes ‘), to be gone with; to be taken; going with	ādiyati	right_only
ādāsaka	masculine	a mirror		right_only
ādikattar	masculine	the first performer, the originator	ādi	right_only
ādikatta	masculine	the first performer, the originator	ādi	right_only
ādikara	adjective (masculine/feminine)	who is the first to perform a particular action	ādi	right_only
ādibrahmacariya	neuter	primary or fundamental morality; the higher holy life	ādi	right_only
ādibrahmacariyaṃ	adverb	as regards a pure and holy life	ādibrahmacariya	right_only
ādikena	instrumental adverb	in the beginning; at once		right_only
ādiṇṇasipātika	adjective	with split or burst seed pods		right_only
ādinnadaṇḍa	adjective	who has taken a stick in hand; who administers justice; who has embraced violence	['ādiyati', 'ādinna']	right_only
ādippati	present 3 singular	blazing, burning; red-hot		right_only
ādiyanapaccayā	adverb	because of the taking		right_only
ādiyapeti	causative present 3 singular	makes take; makes accept		right_only
ādiyamukha	adjective	credulous; quickly convinced	ādheyyamukha	right_only
ādiyituṃ	infinitive	to grasp, to take; to seize		right_only
ādiso	adverb	from the beginning; at first; at the beginning; as a beginning	['ādito', 'ādi']	right_only
ādīnavadassa	adjective	seeing the danger	ādīnava	right_only
ādīnavadassāvi	adjective	seeing the danger, realizing the bad consequences	ādīnava	right_only
ādīnavanupassī	adjective	seeing the danger, realizing the bad consequences	ādīnava	right_only
ādīnavanupassi	adjective	seeing the danger, realizing the bad consequences	ādīnava	right_only
ādeyyavākyavacana	adjective	whose speech is persuasive or influential		right_only
ādeyyavācana	adjective	whose speech is persuasive or influential		right_only
ādesita	causative past participle adjective	shown; indicated	ādisita	right_only
ādesanāpāṭihāriya	neuter	the miracle or marvelous power of indicating (another’s thoughts or state of mind)		right_only
ādesanavidhā	feminine	a form or variety of indicating; (another’s thoughts or state of mind)		right_only
ādhātuṃ	infinitive	to place on; to fix, to settle; to establish; to accept, receive		right_only
ādhipati	masculine	lord, sovereign		right_only
ādhenta	present participle adjective	placing on; fixing, settling; establishing, kindling; accepting, receiving; adding (fuel to fire)		right_only
ādheyyamukha	adjective	credulous; quickly convinced	ādiyamukha	right_only
ānantarikakamma	neuter	an action bringing retribution in the immediately following existence	ānantarika	right_only
ānandajanana	adjective (f. ~ī)	producing joy	ānanda	right_only
ānandajāta	adjective	full of joy	ānanda	right_only
ānandi	adjective	joyful; happy		right_only
ānapāna	neuter masculine	breathing in and out		right_only
ānapānassati	feminine	intentness of mind on one’s breathing in and out	ānapāna	right_only
ānapānasati	feminine	intentness of mind on one’s breathing in and out	ānapāna	right_only
ānāpayati	causative present 3 singular	(see also ānāpeti) causes to be brought; has fetc.hed	āneti	right_only
ānāpeti	causative present 3 singular	(see also ānāpayati) (sometimes confused with, and written as, āṇāpeti), causes to be brought; has fetc.hed	āneti	right_only
ānupubba	neuter	order, regular order, succession		right_only
ānulomika	adjective	in regular order; conformable to, suitable		right_only
ānejja	neuter	immovability; imperturbability		right_only
ānejjakārana	neuter	the feat of immovability (or a trained elephant)	ānejja	right_only
ānejjappatta	adjective	who or which has reached immovability or imperturbability	ānejja	right_only
ānejjapatta	adjective	who or which has reached immovability or imperturbability	ānejja	right_only
āneñjakāraṇa	neuter	the feat of immovability (or a trained elephant)	ānenja	right_only
āneñjapatta	adjective	who or which has reached immovability or imperturbability	ānenja	right_only
āneñjabhisaṅkhāra	masculine, neuter	an accumulation of motive force, impetus, for arūpa states	ānenja	right_only
āpagaharaka	adjective	who scorns or disparages (the element of) water	āpa	right_only
āpajigucchaka	adjective	who spurns or despises (the element of) water	āpa	right_only
āpattikusalatā	feminine abstr	skill in discerning what is an offense	āpatti	right_only
āpattikkhanda	masculine (& neuter)	a group or category of offense:	āpatti	right_only
āpattigāmī	adjective	guilty of an offense (not yet dealt with)	āpatti	right_only
āpattigāmi	adjective	guilty of an offense (not yet dealt with)	āpatti	right_only
āpattibahula	adjective	frequently or habitually committing offenses	āpatti	right_only
āpattivuṭṭhāna	neuter	removal of an offense; rehabilitation	āpatti	right_only
āpadatthā	indeclinable	(for use) in case of misfortune or accident	['āpadatthāya', 'āpadā']	right_only
āpadatthāya	indeclinable	(for use) in case of misfortune or accident	['āpadatthā', 'āpadā']	right_only
āpadī	feminine	misfortune; distress; calamity	āpadā	right_only
āpabhinandī	adjective	finding pleasure in (the element of) water	āpa	right_only
āpabhinandi	adjective	finding pleasure in (the element of) water	āpa	right_only
āpāṇakoṭikaṃ	indeclinable	until the end of one’s life, all one’s life		right_only
āpāthakanisādī	adjective	sitting within the view (of men), in public		right_only
āpāthakanisādi	adjective	sitting within the view (of men), in public		right_only
āpādayati	causative present 3 singular	causes to enter upon or reach (a state); brings to; brings up, nurtures	['āpadeti', 'āpajjati']	right_only
āpādeta	masculine	(from āpādeti) one who brings up, who nurtures		right_only
āpucchita	past participle adjective	(act.) (adjective) having taken leave; having asked for permission; (neuter) asking permission, taking leave	āpucchati	right_only
āpo	masculine, neuter and feminine plural	water, the element water	āpa	right_only
ābādhayati	causative present 3 singular	oppresses; afflicts	ābādheti	right_only
ābhaṭa	adjective	brought, carried; handed down, transmitted	ābhata	right_only
ābhidosiya	adjective	of the previous evening, of last night	ābhidosika	right_only
ābhindati	present 3 singular	splits; cleaves		right_only
ābhisallehika	adjective	concerned with austerity, with strict abstinence	ābhisallekhika	right_only
ābhiseka	adjective	worthy of inauguration as king	ābhiseka	right_only
ābhuñjitvā	absolutive	having turned back		right_only
ābheti	present 3 singular	shines; irradiates, illumines	ābhāti	right_only
āmakachinna	adjective	cut while unripe		right_only
āmakamatta	adjective or neuter	unbaked, still unbaked; or an unbaked pot or vessel		right_only
āmaṇḍalikā	feminine	a (rough) circle; a group	āmaṇḍaliyā	right_only
āmaṇḍaliyā	feminine	a (rough) circle; a group	āmaṇḍalikā	right_only
āmata	adjective	almost dead, near to death		right_only
āmattikāpaṇa	masculine	a pot-seller’s stall, a shop or stall for pots		right_only
āmantaṇa	neuter ~ā, feminine	(also āmantana) addressing; speaking to; invitation; inviting		right_only
āmalakapatta	neuter	a leaf of the āmalaka plant		right_only
āmalavaṭṭika	adjective	the name or description of a type of chair	['āmalakavaṇṭika and āmalakavaṇṭaka', 'āmalaka']	right_only
āmalavaṇṭaka	adjective	the name or description of a type of chair	['āmalakavaṭṭika and āmalakavaṇṭika', 'āmalaka']	right_only
āmalavaṇṭika	adjective	the name or description of a type of chair	['āmalakavaṭṭika and āmalakavaṇṭaka', 'āmalaka']	right_only
āmavasesa	neuter	remnants of undigested food	['āmavasesaka', 'āma']	right_only
āmavasesaka	neuter	remnants of undigested food	['āmavasesa', 'āma']	right_only
āmasabrahmacārī	masculine	a fellow religious student belonging to the same house or community		right_only
āmasabrahmacāri	masculine	a fellow religious student belonging to the same house or community		right_only
āmisakiñcikkha	neuter	some material gain	āmisa	right_only
āmisakhāra	neuter	lye, an alkaline fluid (allowed as a treatment for constipation)	āmisa	right_only
āmisapaṭisanthāra	masculine	hospitable giving of material goods	āmisa	right_only
āmisasanthāra	masculine	the laying out, distribution, of material goods	āmisa	right_only
āmuttamaṇikuṇḍala	adjective	with jeweled earrings put on, wearing jeweled earrings	āmuñcati	right_only
āmuttamālābharaṇa	adjective	wearing garlands and ornaments	āmuñcati	right_only
āmodayati	causative present 3 singular	gladdens, cheers	āmodeti	right_only
āyakusala	adjective	knowledgeable about income or gain	āya	right_only
āyatakena	instrumental adverb	suddenly, abruptly, of a sudden	āyataka	right_only
āyatapaṇhī	adjective	having projecting heels (one of the 32 characteristics of a mahāpurisa)	āyata	right_only
āyatijātijarāmaraṇiya	adjective	leading to birth, old age and death in the future	āyati	right_only
āyamati	present 3 singular	stretc.hes, stretc.hes out (trans. and intrans.); expands		right_only
āyasakka	neuter	disgrace, ill-repute, dishonor	āyasakya	right_only
āyasampanna	adjective	provided with an inlet	āya	right_only
āyasmat	adjective	long-lived, venerable; a venerable person (an honorific and respectful title of a bhikkhu)		right_only
āyasma	adjective	long-lived, venerable; a venerable person (an honorific and respectful title of a bhikkhu)		right_only
āyāmena	instrumental	in length		right_only
āyāsita	adjective	trouble; d distressed		right_only
āyuda	adjective	giving life	āyu	right_only
āyudāyī	adjective	giving life	āyu	right_only
āyudāyi	adjective	giving life	āyu	right_only
āyudhalakkhaṇa	neuter	sings of omen on weapons		right_only
āyuvat	adjective	long lived	āyu	right_only
āyuva	adjective	long lived	āyu	right_only
āyussa	adjective	giving long life		right_only
āyuhati	present 3 singular	thrusts forward, pushes forward (intrans.); struggles, strains, exerts oneself (especially in water); pursues, works at	āyūhati	right_only
āyūha	masculine	thrusting; striving; exertion		right_only
āraka	adjective	distant, far from		right_only
ārakkhat	present participle adjective	guarding, keeping watch over, preserving		right_only
ārakkhasārathi	masculine	a guarding charioteer	ārakkha	right_only
āracayāracayā	feminine	arranging again and again; pulling this way and that		right_only
ārajayārajayā	feminine	scoring again and again		right_only
ārañña	adjective	being in a forest, in the wild; forest-born, wild		right_only
āraññikaṅga	neuter	the practice of living in the wild (one of the dhutaṅgas):	āraññaka	right_only
ārabbhati	present 3 singular	takes hold of; begins, undertakes, embarks upon; starts, initiates	['ārambhati', 'ārabhati']	right_only
āramati	present 3 singular	ceases, stops; leaves off; keeps away (from)		right_only
ārambhati	present 3 singular	takes hold of; begins, undertakes, embarks upon; starts, initiates	['ārabhati', 'ārabbhati']	right_only
ārāgga	neuter	the point of an awl		right_only
ārācāri	adjective	living remote; living far from (unwholesome)	ārā	right_only
ārādhana	neuter ~ā, feminine	conciliating, winning over; accomplishment; success		right_only
ārādhanīya	past participle adjective & neuter	(adjective) to be fulfilled, to be achieved	ārādheti	right_only
ārādhanīya	past participle adjective & neuter	(neuter) what is to be accomplished; success, approval	ārādheti	right_only
ārādhapekha	adjective	looking for favor, wishing to gratify		right_only
ārāmacetya	neuter	(also ārāmacetiya)a shrine in a park; a park	ārāma	right_only
ārāmanisādī	adjective	living near a park	ārāma	right_only
ārāmanisādi	adjective	living near a park	ārāma	right_only
ārāmapesaka	masculine	a superintendent of the park-servants	ārāma	right_only
ārāmikini	feminine	a female servant in an ārāma, or the wife of an ārāmika		right_only
āruppaṭṭhayī	adjective	being or living in a formless or immaterial existence	āruppa	right_only
āruppaṭṭhayi	adjective	being or living in a formless or immaterial existence	āruppa	right_only
āruppavasīn	adjective id	being or living in a formless or immaterial existence	āruppa	right_only
āruppavasī	adjective id	being or living in a formless or immaterial existence	āruppa	right_only
āruyhati	present 3 singular	mounts, climbs, goes up; gets on to or into, steps on to; climbs on or into	['āruhati', 'ārohati', 'ārūhati']	right_only
ārūhati	present 3 singular	mounts, climbs, goes up; gets on to or into, steps on to; climbs on or into	['āruhati', 'ārohati']	right_only
ārūhana	neuter	climbing, ascending, mounting	['ārohaṇa', 'ārohana', 'āruhana']	right_only
ārogiya	neuter	freedom from disease; health, well-being	ārogya	right_only
ārocāpetabba	future passive participle adjective & neuter impersonal	will announce; will inform; will tell		right_only
ārocāpetvā	absolutive	told; announced; informed	āroceti	right_only
ārocāpesum	3 plural	they tell; they announce		right_only
ārodana	neuter ā, feminine	weeping; lamenting		right_only
āropamānaka	adjective	raising, erecting; (or being impaled upon)		right_only
ārohaṇīya	future passive participle adjective	fit to be mounted	['ārohati', 'ārohanīya']	right_only
āḷakamanda	adjective	open, unenclosed; or crowded (like Āḷakamandā); (also ālakamanda)		right_only
ālakamanda	adjective	open, unenclosed; or crowded (like Āḷakamandā); (also āḷakamanda)		right_only
ālaggetvā	indeclinable absolutive	fastening, hanging (on, locative)	['ālaggetvāna', 'ālaggeti']	right_only
ālaggetvāna	indeclinable absolutive	fastening, hanging (on, locative)	['ālaggetvā', 'ālaggeti']	right_only
ālapita	past participle adjective & neuter	(adjective) addressed; named; referred to; (neuter) addressing	ālapati	right_only
ālambaṇa	neuter	something to hold on to or lean on, support; a staff; a support on a carriage	ālambana	right_only
ālambanabāhā	feminine	a rail, a banister	ālamabana	right_only
ālambara	masculine	a drum	āḷambara	right_only
āḷambara	masculine	a drum	ālambara	right_only
ālayati	present 3 singular	settles down on; is attached to; clings, has longings		right_only
ālayesī	adjective	seeking shelter; seeing the nest	ālaya	right_only
ālayesi	adjective	seeking shelter; seeing the nest	ālaya	right_only
ālassa	neuter a	idleness; sloth; waste of energy	['ālasya', 'ālasiya']	right_only
ālārika	masculine	a cook	ālāriya	right_only
ālāriya	masculine	a cook	ālārika	right_only
āḷahana	neuter	a place of cremation; funeral pyre	āḷāhana	right_only
